x,y,z
478697.418501747,3617335.1081907284,0
478697.9151530573,3617336.523583775,0
478698.41180436756,3617337.9389768215,0
478698.90845567785,3617339.354369868,0
478699.4051069881,3617340.7697629146,0
478699.90175829834,3617342.1851559607,0
478700.39840960864,3617343.6005490073,0
478700.8950609189,3617345.015942054,0
478701.3917122292,3617346.4313351004,0
478701.8883635394,3617347.846728147,0
478702.38501484966,3617349.262121193,0
478702.88166615996,3617350.6775142397,0
478703.3783174702,3617352.0929072862,0
