elec,x,y,z
1,448587.3303,4177584.342,0
2,448586.9528,4177585.296,0
3,448586.9459,4177586.249,0
4,448587.1179,4177587.202,0
5,448587.3519,4177588.156,0
6,448587.5832,4177589.109,0
7,448587.7826,4177590.062,0
8,448587.9433,4177591.016,0
9,448588.0712,4177591.969,0
10,448588.1779,4177592.922,0
11,448588.2761,4177593.876,0
12,448588.3765,4177594.829,0
13,448588.4863,4177595.782,0
14,448588.6088,4177596.736,0
15,448588.743,4177597.689,0
16,448588.885,4177598.642,0
17,448589.0282,4177599.595,0
18,448589.1646,4177600.549,0
19,448589.2862,4177601.502,0
20,448589.3854,4177602.455,0
21,448589.4562,4177603.409,0
22,448589.4945,4177604.362,0
23,448589.499,4177605.315,0
24,448589.4708,4177606.269,0
25,448589.4137,4177607.222,0
26,448589.3339,4177608.175,0
27,448589.2395,4177609.129,0
28,448589.1402,4177610.082,0
29,448589.0465,4177611.035,0
30,448588.969,4177611.989,0
31,448588.9178,4177612.942,0
32,448588.9018,4177613.895,0
33,448588.9282,4177614.849,0
34,448589.0018,4177615.802,0
35,448589.1248,4177616.755,0
36,448589.2965,4177617.709,0
37,448589.5131,4177618.662,0
38,448589.7681,4177619.615,0
39,448590.052,4177620.568,0
40,448590.3533,4177621.522,0
41,448590.6585,4177622.475,0
42,448590.9533,4177623.428,0
43,448591.2226,4177624.382,0
44,448591.4521,4177625.335,0
45,448591.6285,4177626.288,0
46,448591.7404,4177627.242,0
47,448591.7793,4177628.195,0
48,448591.74,4177629.148,0
49,448591.6209,4177630.102,0
50,448591.4243,4177631.055,0
51,448591.1569,4177632.008,0
52,448590.8287,4177632.962,0
53,448590.4532,4177633.915,0
54,448590.0463,4177634.868,0
55,448589.6252,4177635.822,0
56,448589.2074,4177636.775,0
57,448588.8089,4177637.728,0
58,448588.4426,4177638.681,0
59,448588.1171,4177639.635,0
60,448587.8352,4177640.588,0
61,448587.5923,4177641.541,0
62,448587.3765,4177642.495,0
63,448587.1688,4177643.448,0
64,448586.944,4177644.401,0
65,448586.6743,4177645.355,0
66,448586.3338,4177646.308,0
67,448585.9061,4177647.261,0
68,448585.3944,4177648.215,0
69,448584.8358,4177649.168,0
70,448584.3197,4177650.121,0
71,448584.0115,4177651.075,0
72,448584.1826,4177652.028,0
